Metric,Value
route__wirelength__max,935.45
design__instance__count__class:fill_cell,5201
design__instance__area__class:fill_cell,35360.8
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,49
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,49
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,49
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,49
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_typ_1p20V_25C,1.19532
design_powergrid__drop__average__net:VPWR__corner:nom_typ_1p20V_25C,1.19945
design_powergrid__drop__worst__net:VPWR__corner:nom_typ_1p20V_25C,0.00467855
design_powergrid__voltage__worst__net:VGND__corner:nom_typ_1p20V_25C,0.00331236
design_powergrid__drop__average__net:VGND__corner:nom_typ_1p20V_25C,0.000541903
design_powergrid__drop__worst__net:VGND__corner:nom_typ_1p20V_25C,0.00331236
design_powergrid__voltage__worst,0.00331236
design_powergrid__voltage__worst__net:VPWR,1.19532
design_powergrid__drop__worst,0.00467855
design_powergrid__drop__worst__net:VPWR,0.00467855
design_powergrid__voltage__worst__net:VGND,0.00331236
design_powergrid__drop__worst__net:VGND,0.00331236
ir__voltage__worst,1.1999999999999999555910790149937383830547332763671875
ir__drop__avg,0.000547999999999999984519327700382973489467985928058624267578125
ir__drop__worst,0.0046800000000000001321165399303936283104121685028076171875
magic__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
