Metric,Value
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,16
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,16
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,16
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,16
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_typ_1p20V_25C,1.18364
design_powergrid__drop__average__net:VPWR__corner:nom_typ_1p20V_25C,1.19902
design_powergrid__drop__worst__net:VPWR__corner:nom_typ_1p20V_25C,0.0163629
design_powergrid__voltage__worst__net:VGND__corner:nom_typ_1p20V_25C,0.0147206
design_powergrid__drop__average__net:VGND__corner:nom_typ_1p20V_25C,0.000878642
design_powergrid__drop__worst__net:VGND__corner:nom_typ_1p20V_25C,0.0147206
design_powergrid__voltage__worst,0.0147206
design_powergrid__voltage__worst__net:VPWR,1.18364
design_powergrid__drop__worst,0.0163629
design_powergrid__drop__worst__net:VPWR,0.0163629
design_powergrid__voltage__worst__net:VGND,0.0147206
design_powergrid__drop__worst__net:VGND,0.0147206
ir__voltage__worst,1.1799999999999999378275106209912337362766265869140625
ir__drop__avg,0.0009840000000000000655864251797311226255260407924652099609375
ir__drop__worst,0.0164000000000000013822276656583198928274214267730712890625
magic__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
