Metric,Value
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,12
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,12
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_typ_1p20V_25C,1.19999
design_powergrid__drop__average__net:VPWR__corner:nom_typ_1p20V_25C,1.2
design_powergrid__drop__worst__net:VPWR__corner:nom_typ_1p20V_25C,0.00000554703
design_powergrid__voltage__worst__net:VGND__corner:nom_typ_1p20V_25C,0.00000553578
design_powergrid__drop__average__net:VGND__corner:nom_typ_1p20V_25C,5.22303E-7
design_powergrid__drop__worst__net:VGND__corner:nom_typ_1p20V_25C,0.00000553578
design_powergrid__voltage__worst,0.00000553578
design_powergrid__voltage__worst__net:VPWR,1.19999
design_powergrid__drop__worst,0.00000554703
design_powergrid__drop__worst__net:VPWR,0.00000554703
design_powergrid__voltage__worst__net:VGND,0.00000553578
design_powergrid__drop__worst__net:VGND,0.00000553578
ir__voltage__worst,1.1999999999999999555910790149937383830547332763671875
ir__drop__avg,4.889999999999999979888591801480135501378754270263016223907470703125E-7
ir__drop__worst,0.0000055500000000000002253080534642126764310887665487825870513916015625
magic__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
